	0
281	2.33
282	2.33
283	3.0
284	2.33
285	3.0
286	3.0
287	3.0
288	3.0
289	3.0
290	3.0
291	3.0
292	3.0
293	3.0
294	2.33
295	2.33
296	2.33
297	2.33
298	3.0
299	3.0
300	2.33
301	2.33
302	3.0
303	2.33
304	3.0
305	2.33
306	2.33
307	3.0
308	2.33
309	2.0
310	2.0
311	3.0
312	2.33
313	3.0
314	2.67
315	3.0
316	3.0
317	2.33
318	3.0
319	2.67
320	3.0
321	3.0
322	3.0
323	3.0
324	3.0
325	3.0
326	3.0
327	3.0
328	3.0
329	3.0
330	3.0
331	2.33
332	3.0
333	2.33
334	2.33
335	2.33
336	3.0
337	3.0
338	3.0
339	2.0
340	2.33
341	3.0
342	3.0
343	2.33
344	3.0
345	3.0
346	2.33
347	3.0
348	2.33
349	3.0
350	2.67
351	3.0
352	3.0
353	3.0
354	3.0
355	3.0
356	3.0
357	3.0
358	3.0
359	2.33
360	3.0
361	3.0
362	2.33
363	2.33
364	3.0
365	2.33
366	3.0
367	2.33
368	3.0
369	3.0
370	3.0
371	3.0
372	3.0
373	3.0
374	2.33
375	3.0
376	3.0
377	3.0
378	3.0
379	3.0
380	3.0
381	3.0
382	3.0
383	3.0
384	3.0
385	3.0
386	2.33
387	3.0
388	2.33
389	2.0
390	2.33
391	2.33
392	3.0
393	2.33
394	2.33
395	2.33
396	2.33
397	3.0
398	2.33
399	3.0
400	2.33
401	2.33
402	3.0
403	2.33
404	2.33
405	2.33
406	3.0
407	2.33
408	3.0
409	3.0
410	2.67
411	3.0
412	2.33
413	2.67
414	2.33
415	3.0
416	3.0
417	3.0
418	3.0
419	3.0
420	3.0
421	3.0
422	3.0
423	3.0
424	3.0
425	3.0
426	2.33
427	2.33
428	3.0
429	3.0
430	3.0
431	3.0
432	3.0
433	2.33
434	3.0
435	3.0
436	3.0
437	3.0
438	2.33
439	3.0
440	2.33
441	3.0
442	3.0
443	3.0
444	3.0
445	3.0
446	3.0
447	3.0
448	2.33
449	3.0
450	3.0
451	3.0
452	3.0
453	3.0
454	3.0
455	3.0
456	3.0
457	3.0
458	2.33
459	3.0
460	3.0
461	3.0
462	3.0
463	3.0
464	3.0
465	3.0
466	2.33
467	3.0
468	2.33
469	3.0
470	3.0
471	3.0
472	3.0
473	3.0
474	3.0
475	3.0
476	2.33
477	3.0
478	3.0
479	2.33
480	3.0
481	3.0
482	3.0
483	3.0
484	3.0
485	3.0
486	3.0
487	3.0
488	3.0
489	2.33
490	3.0
491	3.0
492	3.0
493	3.0
494	3.0
495	3.0
496	3.0
497	3.0
498	3.0
499	3.0
500	3.0
501	3.0
502	3.0
503	3.0
504	3.0
505	2.33
506	2.33
507	2.33
508	2.33
509	2.33
510	3.0
511	2.33
512	2.33
513	3.0
514	2.33
515	2.33
516	2.33
517	3.0
518	2.33
519	3.0
520	2.33
521	3.0
522	2.33
523	3.0
524	3.0
525	3.0
526	3.0
527	3.0
528	3.0
529	3.0
530	3.0
531	3.0
532	3.0
533	3.0
534	2.33
535	3.0
536	3.0
537	3.0
538	3.0
539	3.0
540	3.0
541	3.0
542	2.33
543	2.33
544	3.0
545	2.33
546	2.33
547	2.33
548	3.0
549	3.0
550	3.0
551	3.0
552	3.0
553	3.0
554	3.0
555	2.33
556	2.33
557	3.0
558	2.33
559	3.0
560	3.0
561	2.33
562	2.33
563	3.0
564	3.0
565	3.0
566	3.0
567	3.0
568	1.67
569	3.0
570	3.0
571	2.33
572	3.0
573	3.0
574	3.0
575	3.0
576	3.0
577	2.33
578	2.0
579	3.0
580	3.0
581	3.0
582	3.0
583	3.0
584	3.0
585	3.0
586	2.67
587	3.0
588	2.33
589	3.0
590	3.0
591	3.0
592	2.67
593	3.0
594	2.33
595	2.33
596	3.0
597	3.0
598	3.0
599	3.0
600	2.33
601	2.33
602	2.33
603	3.0
604	1.67
605	2.33
606	3.0
607	2.33
608	2.33
609	2.33
610	2.33
611	2.33
612	3.0
613	2.33
614	3.0
615	3.0
616	3.0
617	3.0
618	3.0
619	3.0
620	3.0
621	3.0
622	2.33
623	2.33
624	2.33
625	2.33
626	2.33
627	2.33
628	2.33
629	2.33
630	3.0
631	3.0
632	3.0
633	3.0
634	3.0
635	3.0
636	3.0
637	3.0
638	3.0
639	3.0
640	2.33
641	2.33
642	3.0
643	3.0
644	2.33
645	3.0
646	3.0
647	2.33
648	2.33
649	2.33
650	2.33
651	3.0
652	3.0
653	3.0
654	3.0
655	3.0
656	3.0
657	3.0
658	2.33
659	2.33
660	3.0
661	3.0
662	3.0
663	2.33
664	3.0
665	3.0
666	3.0
667	3.0
668	3.0
669	3.0
670	2.67
671	2.67
672	2.67
673	3.0
674	3.0
675	2.33
676	3.0
677	2.33
678	3.0
679	3.0
680	3.0
681	2.33
682	3.0
683	3.0
684	3.0
685	3.0
686	3.0
687	3.0
688	3.0
689	3.0
690	3.0
691	3.0
692	3.0
693	3.0
694	2.33
695	3.0
696	3.0
697	3.0
698	3.0
699	3.0
700	3.0
701	3.0
702	3.0
703	3.0
704	3.0
705	3.0
706	3.0
707	3.0
708	3.0
709	3.0
710	3.0
711	3.0
712	3.0
713	3.0
714	3.0
715	2.33
716	3.0
717	3.0
718	3.0
719	2.33
720	2.33
721	3.0
722	2.33
723	2.33
724	2.67
725	3.0
726	2.33
727	3.0
728	3.0
729	2.33
730	3.0
731	2.33
732	3.0
733	2.33
734	3.0
735	3.0
736	2.33
737	3.0
738	3.0
739	3.0
740	3.0
741	3.0
742	3.0
743	2.33
744	2.33
745	3.0
746	3.0
747	3.0
748	3.0
749	2.33
750	3.0
751	2.33
752	3.0
753	2.33
754	3.0
755	3.0
756	3.0
757	3.0
758	3.0
759	2.33
760	2.33
761	2.33
762	2.33
763	3.0
764	3.0
765	2.33
766	2.33
767	2.33
768	2.33
769	2.33
770	3.0
771	3.0
772	3.0
773	3.0
774	3.0
775	3.0
776	3.0
777	2.33
778	3.0
779	2.33
780	2.33
781	2.33
782	2.67
783	2.33
784	3.0
785	3.0
786	3.0
787	3.0
788	3.0
789	3.0
790	3.0
791	3.0
792	3.0
793	2.33
794	3.0
795	3.0
796	3.0
797	3.0
798	3.0
799	3.0
800	3.0
801	3.0
802	3.0
803	2.33
804	2.33
805	3.0
806	3.0
807	3.0
808	3.0
809	2.33
810	3.0
811	3.0
812	3.0
813	3.0
814	3.0
815	3.0
816	2.0
817	3.0
818	2.33
819	3.0
820	3.0
821	2.67
822	2.33
823	2.33
824	3.0
825	3.0
826	3.0
827	3.0
828	3.0
829	2.33
830	2.33
831	3.0
832	2.33
833	2.33
834	2.33
835	2.33
836	2.33
837	3.0
838	2.33
839	2.33
840	3.0
841	3.0
842	3.0
843	2.33
844	2.33
845	3.0
846	3.0
847	3.0
848	3.0
849	3.0
850	2.33
851	2.33
852	3.0
853	3.0
854	1.33
855	2.0
856	2.33
857	2.33
858	3.0
859	2.67
860	3.0
861	3.0
862	3.0
863	3.0
864	3.0
865	3.0
866	2.33
867	3.0
868	3.0
869	3.0
870	3.0
871	3.0
872	3.0
873	3.0
874	2.33
875	3.0
876	3.0
877	3.0
878	3.0
879	3.0
880	3.0
881	3.0
882	2.33
883	3.0
884	3.0
885	2.33
886	2.33
887	3.0
888	2.33
889	2.33
890	3.0
891	2.33
892	2.33
893	3.0
894	2.33
895	3.0
896	2.33
897	3.0
898	3.0
899	3.0
900	2.33
901	3.0
902	3.0
903	3.0
904	3.0
905	3.0
906	3.0
907	3.0
908	2.33
909	3.0
910	3.0
911	3.0
912	1.67
913	2.33
914	3.0
915	3.0
916	3.0
917	3.0
918	2.33
919	3.0
920	3.0
921	2.33
922	3.0
923	2.33
924	3.0
925	3.0
926	2.33
927	3.0
928	3.0
929	2.33
930	3.0
931	3.0
932	3.0
933	3.0
934	3.0
935	2.33
936	3.0
937	2.33
938	2.33
939	3.0
940	3.0
941	3.0
942	2.33
943	2.33
944	2.33
945	2.33
946	2.33
947	2.33
948	3.0
949	3.0
950	3.0
951	3.0
952	3.0
953	3.0
954	2.33
955	3.0
956	2.33
957	3.0
958	3.0
959	2.33
960	3.0
961	3.0
962	3.0
963	2.33
964	2.33
965	3.0
966	3.0
967	3.0
968	3.0
969	3.0
970	3.0
971	2.33
972	3.0
973	3.0
974	3.0
975	3.0
976	3.0
977	2.33
978	2.33
979	3.0
980	3.0
981	2.33
982	3.0
983	2.33
984	3.0
985	3.0
986	2.33
987	2.33
988	2.33
989	3.0
990	3.0
991	3.0
992	2.33
993	3.0
994	3.0
995	3.0
996	3.0
997	3.0
998	2.0
999	3.0
1000	2.33
1001	3.0
1002	2.33
1003	3.0
1004	3.0
1005	2.33
1006	3.0
1007	3.0
1008	3.0
1009	2.33
1010	3.0
1011	2.33
1012	3.0
1013	2.33
1014	3.0
1015	3.0
1016	3.0
1017	3.0
1018	2.33
1019	2.33
1020	2.33
1021	3.0
1022	2.33
1023	3.0
1024	3.0
1025	2.0
1026	3.0
1027	2.33
1028	3.0
1029	2.33
1030	2.33
1031	2.33
1032	2.33
1033	2.33
1034	3.0
1035	2.33
1036	3.0
1037	3.0
1038	2.33
1039	2.33
1040	3.0
1041	3.0
1042	3.0
1043	2.0
1044	2.33
1045	2.33
1046	3.0
1047	3.0
1048	2.33
1049	2.33
1050	2.33
1051	2.33
1052	3.0
1053	2.33
1054	2.33
1055	2.33
1056	2.33
1057	3.0
1058	3.0
1059	2.33
1060	2.33
1061	3.0
1062	2.67
1063	2.33
1064	2.33
1065	3.0
1066	3.0
1067	3.0
1068	3.0
1069	3.0
1070	3.0
1071	3.0
1072	3.0
1073	3.0
1074	3.0
1075	3.0
1076	3.0
1077	3.0
1078	3.0
1079	3.0
1080	3.0
1081	3.0
1082	3.0
1083	3.0
1084	3.0
1085	2.33
1086	3.0
1087	3.0
1088	3.0
1089	3.0
1090	2.33
1091	2.33
1092	3.0
1093	2.33
1094	3.0
1095	2.33
1096	2.33
1097	2.33
1098	2.33
1099	2.33
1100	2.33
1101	2.33
1102	2.33
1103	1.67
1104	2.67
1105	3.0
1106	2.33
1107	2.33
1108	3.0
1109	2.67
1110	3.0
1111	2.33
1112	3.0
1113	2.33
1114	3.0
1115	3.0
1116	2.33
1117	2.33
1118	2.33
1119	3.0
1120	3.0
1121	2.33
1122	3.0
1123	3.0
1124	2.33
1125	3.0
1126	3.0
1127	3.0
1128	3.0
1129	3.0
1130	3.0
1131	2.33
1132	2.0
1133	3.0
1134	3.0
1135	3.0
1136	2.33
1137	2.33
1138	3.0
1139	2.33
1140	3.0
1141	3.0
1142	3.0
1143	3.0
1144	2.33
1145	2.33
1146	3.0
1147	2.33
1148	3.0
1149	3.0
1150	3.0
1151	2.33
1152	2.33
1153	3.0
1154	3.0
1155	3.0
1156	3.0
1157	3.0
1158	2.33
1159	3.0
1160	3.0
1161	3.0
1162	3.0
1163	3.0
1164	3.0
1165	3.0
1166	3.0
1167	3.0
1168	3.0
1169	3.0
1170	3.0
1171	3.0
1172	3.0
1173	3.0
1174	2.33
1175	2.33
1176	3.0
1177	3.0
1178	3.0
1179	3.0
1180	2.33
1181	3.0
1182	2.33
1183	3.0
1184	3.0
1185	3.0
1186	2.33
1187	3.0
1188	2.33
1189	2.33
1190	3.0
1191	3.0
1192	3.0
1193	3.0
1194	3.0
1195	3.0
1196	3.0
1197	3.0
1198	3.0
1199	2.33
1200	3.0
1201	2.33
1202	3.0
1203	3.0
1204	3.0
1205	3.0
1206	3.0
1207	2.33
1208	3.0
1209	3.0
1210	3.0
1211	3.0
1212	3.0
1213	3.0
1214	3.0
1215	3.0
1216	2.33
1217	3.0
1218	3.0
1219	3.0
1220	3.0
1221	3.0
1222	2.33
1223	2.33
1224	3.0
1225	3.0
1226	2.33
1227	3.0
1228	3.0
1229	2.33
1230	3.0
1231	3.0
1232	3.0
1233	3.0
1234	3.0
1235	2.33
1236	3.0
1237	3.0
1238	3.0
1239	2.0
1240	3.0
1241	3.0
1242	2.33
1243	3.0
1244	3.0
1245	3.0
1246	2.33
1247	3.0
1248	3.0
1249	3.0
1250	3.0
1251	3.0
1252	3.0
1253	3.0
1254	3.0
1255	3.0
1256	3.0
1257	3.0
1258	3.0
1259	3.0
1260	3.0
1261	2.33
1262	2.33
1263	3.0
1264	3.0
1265	3.0
1266	2.33
1267	3.0
1268	3.0
1269	3.0
1270	3.0
1271	3.0
1272	3.0
1273	3.0
1274	3.0
1275	3.0
1276	2.33
1277	3.0
1278	3.0
1279	2.33
1280	3.0
1281	2.33
1282	3.0
1283	2.33
1284	2.67
1285	2.67
1286	2.33
1287	3.0
1288	3.0
1289	2.33
1290	3.0
1291	3.0
1292	3.0
1293	3.0
1294	3.0
1295	2.33
1296	2.33
1297	2.33
1298	3.0
1299	3.0
1300	2.33
1301	3.0
1302	3.0
1303	3.0
1304	3.0
1305	3.0
1306	3.0
1307	2.33
1308	3.0
1309	2.33
1310	3.0
1311	2.33
1312	3.0
1313	3.0
1314	2.33
1315	2.33
1316	2.33
1317	3.0
1318	3.0
1319	2.33
1320	2.33
1321	3.0
1322	2.33
1323	3.0
1324	3.0
1325	3.0
1326	3.0
1327	3.0
1328	3.0
1329	3.0
1330	3.0
1331	3.0
1332	3.0
1333	3.0
1334	3.0
1335	3.0
1336	3.0
1337	2.33
1338	2.33
1339	3.0
1340	3.0
1341	2.33
1342	2.33
1343	3.0
1344	2.33
1345	3.0
1346	3.0
1347	3.0
1348	3.0
1349	3.0
1350	3.0
1351	3.0
1352	3.0
1353	2.33
1354	2.33
1355	2.33
1356	3.0
1357	3.0
1358	3.0
1359	3.0
1360	3.0
1361	2.33
1362	2.0
1363	3.0
1364	3.0
1365	2.33
1366	2.33
1367	2.33
1368	3.0
1369	2.33
1370	1.67
1371	2.33
1372	2.33
1373	2.33
1374	2.33
1375	3.0
1376	3.0
1377	2.33
1378	3.0
1379	2.33
1380	3.0
1381	3.0
1382	3.0
1383	2.33
1384	2.33
1385	3.0
1386	3.0
1387	2.33
1388	2.33
1389	2.33
1390	2.33
1391	3.0
1392	2.33
1393	2.33
1394	3.0
1395	3.0
1396	3.0
1397	2.33
1398	2.33
1399	3.0
1400	3.0
1401	2.33
1402	3.0
1403	2.33
1404	3.0
1405	3.0
1406	3.0
1407	2.33
1408	3.0
1409	3.0
1410	3.0
1411	3.0
1412	3.0
1413	2.33
1414	3.0
1415	2.33
1416	3.0
1417	3.0
1418	3.0
1419	2.33
1420	3.0
1421	3.0
1422	3.0
1423	2.33
1424	3.0
1425	3.0
1426	3.0
1427	2.33
1428	3.0
1429	3.0
1430	3.0
1431	2.33
1432	2.33
1433	2.33
1434	3.0
1435	3.0
1436	2.33
1437	2.33
1438	2.33
1439	2.33
1440	2.33
1441	2.33
1442	2.33
1443	2.33
1444	2.33
1445	3.0
1446	2.33
1447	2.33
1448	2.33
1449	3.0
1450	2.33
1451	2.33
1452	3.0
1453	2.67
1454	3.0
1455	2.33
1456	3.0
1457	3.0
1458	2.33
1459	3.0
1460	2.33
1461	3.0
1462	3.0
1463	3.0
1464	3.0
1465	2.33
1466	2.33
1467	2.33
1468	2.33
1469	3.0
1470	2.33
1471	3.0
1472	3.0
1473	2.33
1474	3.0
1475	3.0
1476	3.0
1477	3.0
1478	3.0
1479	2.33
1480	3.0
1481	3.0
1482	2.33
1483	3.0
1484	2.33
1485	3.0
1486	2.67
1487	2.33
1488	3.0
1489	3.0
1490	2.67
1491	3.0
1492	3.0
1493	2.33
1494	3.0
1495	3.0
1496	2.67
1497	3.0
1498	3.0
1499	3.0
1500	3.0
1501	3.0
1502	3.0
1503	2.33
1504	2.33
1505	3.0
1506	3.0
1507	2.33
1508	2.33
1509	2.33
1510	3.0
1511	2.33
1512	3.0
1513	2.33
1514	2.33
1515	3.0
1516	3.0
1517	3.0
1518	2.33
1519	3.0
1520	3.0
1521	3.0
1522	3.0
1523	3.0
1524	3.0
1525	3.0
1526	3.0
1527	2.67
1528	2.33
1529	2.67
1530	2.33
1531	2.33
1532	3.0
1533	3.0
1534	3.0
1535	3.0
1536	2.0
1537	3.0
1538	3.0
1539	3.0
1540	3.0
1541	2.33
1542	3.0
1543	3.0
1544	3.0
1545	3.0
1546	2.33
1547	3.0
1548	3.0
1549	3.0
1550	3.0
1551	3.0
1552	3.0
1553	2.33
1554	3.0
1555	3.0
1556	3.0
1557	2.33
1558	3.0
1559	3.0
1560	2.33
1561	2.33
1562	2.33
1563	2.33
1564	3.0
1565	3.0
1566	2.33
1567	3.0
1568	3.0
1569	2.33
1570	3.0
1571	3.0
1572	3.0
1573	3.0
1574	3.0
1575	3.0
1576	3.0
1577	3.0
1578	2.33
1579	3.0
1580	3.0
1581	3.0
1582	3.0
1583	3.0
1584	3.0
1585	2.33
1586	2.67
1587	3.0
1588	2.67
1589	3.0
1590	2.67
1591	2.33
1592	2.67
1593	2.33
1594	2.33
1595	2.33
1596	2.33
1597	2.33
1598	3.0
1599	3.0
1600	2.33
1601	2.33
1602	2.33
1603	2.33
1604	2.33
1605	2.67
1606	3.0
1607	3.0
1608	3.0
1609	3.0
1610	3.0
1611	2.67
1612	2.33
1613	2.33
1614	3.0
1615	2.33
1616	2.33
1617	2.33
1618	2.33
1619	3.0
1620	2.33
1621	3.0
1622	3.0
1623	2.67
1624	3.0
1625	3.0
1626	3.0
1627	3.0
1628	3.0
1629	2.33
1630	2.33
1631	2.33
1632	2.33
1633	2.33
1634	2.33
1635	2.33
1636	2.33
1637	2.33
1638	3.0
1639	2.33
1640	3.0
1641	3.0
1642	3.0
1643	3.0
1644	2.33
1645	2.33
1646	3.0
1647	3.0
1648	2.33
1649	3.0
1650	3.0
1651	3.0
1652	3.0
1653	3.0
1654	3.0
1655	3.0
1656	3.0
1657	3.0
1658	3.0
1659	3.0
1660	2.33
1661	3.0
1662	2.33
1663	3.0
1664	3.0
1665	3.0
1666	3.0
1667	2.33
1668	3.0
1669	3.0
1670	3.0
1671	2.33
1672	3.0
1673	3.0
1674	3.0
1675	3.0
1676	2.33
1677	3.0
1678	2.33
1679	2.33
1680	2.33
1681	3.0
1682	2.33
1683	3.0
1684	3.0
1685	2.33
1686	3.0
1687	2.33
1688	3.0
1689	3.0
1690	3.0
1691	2.33
1692	2.33
1693	3.0
1694	2.33
1695	3.0
1696	2.33
1697	3.0
1698	3.0
1699	3.0
1700	3.0
1701	3.0
1702	2.33
1703	3.0
1704	3.0
1705	3.0
1706	3.0
1707	3.0
1708	3.0
1709	3.0
1710	3.0
1711	3.0
1712	3.0
1713	2.33
1714	2.33
1715	2.33
1716	3.0
1717	3.0
1718	2.33
1719	2.0
1720	2.67
1721	2.33
1722	2.33
1723	2.33
1724	2.33
1725	2.33
1726	2.33
1727	2.33
1728	3.0
1729	3.0
1730	3.0
1731	2.33
1732	3.0
1733	3.0
1734	2.33
1735	3.0
1736	3.0
1737	3.0
1738	3.0
1739	3.0
1740	2.33
1741	3.0
1742	3.0
1743	2.33
1744	2.0
1745	2.33
1746	2.33
1747	3.0
1748	2.33
1749	3.0
1750	3.0
1751	3.0
1752	3.0
1753	3.0
1754	3.0
1755	2.33
1756	3.0
1757	3.0
1758	3.0
1759	3.0
1760	2.33
1761	2.33
1762	2.33
1763	2.33
1764	3.0
1765	2.33
1766	3.0
1767	2.33
1768	2.33
1769	3.0
1770	2.33
1771	2.33
1772	3.0
1773	3.0
1774	3.0
1775	3.0
1776	3.0
1777	3.0
1778	3.0
1779	3.0
1780	2.33
1781	3.0
1782	2.33
1783	3.0
1784	2.33
1785	2.67
1786	3.0
1787	2.33
1788	2.67
1789	2.0
1790	2.67
1791	2.67
1792	3.0
1793	3.0
1794	2.67
1795	3.0
1796	3.0
1797	3.0
1798	3.0
1799	3.0
1800	3.0
1801	3.0
1802	3.0
1803	3.0
1804	3.0
1805	3.0
1806	3.0
1807	3.0
1808	2.33
1809	2.33
1810	3.0
1811	2.33
1812	2.33
1813	2.33
1814	3.0
1815	2.33
1816	3.0
1817	2.33
1818	3.0
1819	2.33
1820	3.0
1821	2.33
1822	3.0
1823	3.0
1824	3.0
1825	2.33
1826	3.0
1827	3.0
1828	2.33
1829	3.0
1830	3.0
1831	2.33
1832	3.0
1833	3.0
1834	3.0
1835	3.0
1836	3.0
1837	3.0
1838	3.0
1839	3.0
1840	3.0
1841	2.33
1842	2.33
1843	3.0
1844	2.33
1845	2.33
1846	3.0
1847	2.33
1848	2.33
1849	3.0
1850	2.33
1851	2.33
1852	3.0
1853	3.0
1854	3.0
1855	3.0
1856	3.0
1857	3.0
1858	3.0
1859	3.0
1860	2.33
1861	3.0
1862	3.0
1863	3.0
1864	2.33
1865	3.0
1866	2.33
1867	3.0
1868	3.0
1869	2.33
1870	3.0
1871	3.0
1872	3.0
1873	2.33
1874	2.33
1875	3.0
1876	3.0
1877	2.33
1878	2.33
1879	2.33
1880	2.33
1881	2.33
1882	2.33
1883	2.33
1884	3.0
1885	3.0
1886	2.67
1887	2.33
1888	3.0
1889	3.0
1890	3.0
1891	3.0
1892	3.0
1893	2.33
1894	3.0
1895	3.0
1896	2.33
1897	3.0
1898	2.33
1899	2.33
1900	2.33
1901	3.0
1902	2.33
1903	2.67
1904	3.0
1905	3.0
1906	2.33
1907	3.0
1908	2.33
1909	2.33
1910	3.0
1911	2.67
1912	2.33
1913	3.0
1914	3.0
1915	2.33
1916	3.0
1917	3.0
1918	3.0
1919	2.33
1920	3.0
1921	3.0
1922	3.0
1923	3.0
1924	2.33
1925	2.33
1926	2.33
1927	3.0
1928	3.0
1929	3.0
1930	2.33
1931	3.0
1932	3.0
1933	3.0
1934	3.0
1935	3.0
1936	3.0
1937	2.33
1938	3.0
1939	3.0
1940	3.0
1941	2.33
1942	3.0
1943	2.33
1944	3.0
1945	2.33
1946	3.0
1947	2.33
1948	3.0
1949	2.33
1950	3.0
1951	3.0
1952	2.33
1953	3.0
1954	3.0
1955	3.0
1956	3.0
1957	3.0
1958	3.0
1959	2.67
1960	3.0
1961	3.0
1962	3.0
1963	2.33
1964	2.33
1965	2.33
1966	3.0
1967	2.33
1968	3.0
1969	2.33
1970	2.67
1971	2.0
1972	3.0
1973	2.33
1974	2.33
1975	2.33
1976	2.33
1977	3.0
1978	3.0
1979	3.0
1980	3.0
1981	3.0
1982	3.0
1983	3.0
1984	2.33
1985	3.0
1986	3.0
1987	3.0
1988	2.67
1989	3.0
1990	3.0
1991	3.0
1992	2.33
1993	3.0
1994	3.0
1995	3.0
1996	2.33
1997	3.0
1998	3.0
1999	3.0
2000	3.0
2001	2.33
2002	3.0
2003	2.67
2004	2.67
2005	2.0
2006	2.33
2007	3.0
2008	2.33
2009	2.33
2010	2.0
2011	3.0
2012	3.0
2013	2.33
2014	2.33
2015	2.33
2016	2.33
2017	2.33
2018	3.0
2019	3.0
2020	2.33
2021	2.33
2022	2.33
2023	3.0
2024	3.0
2025	2.67
2026	3.0
2027	3.0
2028	3.0
2029	3.0
2030	2.33
2031	3.0
2032	3.0
2033	2.33
2034	3.0
2035	2.33
2036	2.33
2037	2.33
2038	3.0
2039	3.0
2040	3.0
2041	3.0
2042	3.0
2043	2.33
2044	3.0
2045	3.0
2046	2.33
2047	2.33
2048	2.33
2049	2.33
2050	2.33
2051	3.0
2052	2.33
2053	2.33
2054	3.0
2055	3.0
2056	2.33
2057	3.0
2058	2.33
2059	3.0
2060	3.0
2061	3.0
2062	3.0
2063	3.0
2064	2.33
2065	3.0
2066	2.33
2067	3.0
2068	2.67
2069	3.0
2070	2.33
2071	2.33
2072	3.0
2073	3.0
2074	3.0
2075	3.0
2076	3.0
2077	3.0
2078	2.33
2079	2.67
2080	3.0
2081	3.0
2082	2.67
2083	3.0
2084	2.67
2085	2.33
2086	1.67
2087	2.33
2088	3.0
2089	2.33
2090	3.0
2091	2.33
2092	3.0
2093	2.33
2094	3.0
2095	3.0
2096	2.33
2097	2.33
2098	3.0
2099	3.0
2100	2.33
2101	2.0
2102	3.0
2103	3.0
2104	3.0
2105	2.33
2106	3.0
2107	2.33
2108	2.33
2109	3.0
2110	3.0
2111	3.0
2112	2.33
2113	3.0
2114	2.33
2115	3.0
2116	2.33
2117	3.0
2118	3.0
2119	3.0
2120	3.0
2121	3.0
2122	3.0
2123	3.0
2124	3.0
2125	3.0
2126	3.0
2127	3.0
2128	3.0
2129	3.0
2130	3.0
2131	3.0
2132	3.0
2133	3.0
2134	3.0
2135	2.33
2136	2.33
2137	3.0
2138	3.0
2139	3.0
2140	3.0
2141	2.33
